# M nu z R Re N Naem box snap
9.701112e+12 3.602533e+00 3.00 3.035756e-02 1.542817e-02 7.78447656e+03 7.55512152e+03 0 0
1.542852e+13 3.917579e+00 3.00 -3.116631e-02 2.449267e-02 1.94654115e+03 2.00915923e+03 0 0
2.456179e+13 4.275653e+00 3.00 -1.066121e-01 4.811756e-02 3.79000072e+02 4.24227895e+02 0 0
3.864139e+13 4.672425e+00 3.00 -7.688146e-02 1.191334e-01 6.14550130e+01 6.65732625e+01 0 0
5.633010e+13 5.044329e+00 3.00 4.127043e-01 4.432178e-01 1.00555101e+01 7.11791565e+00 0 0
9.839677e+12 2.728965e+00 2.00 2.794740e-02 8.180670e-03 5.52115706e+04 5.37105016e+04 0 1
1.574261e+13 2.971193e+00 2.00 2.247264e-02 1.034204e-02 2.21081949e+04 2.16222850e+04 0 1
2.507148e+13 3.243506e+00 2.00 2.526214e-02 1.466801e-02 7.81312780e+03 7.62061479e+03 0 1
4.001324e+13 3.555270e+00 2.00 5.804381e-02 2.522299e-02 2.39123496e+03 2.26005287e+03 0 1
6.333304e+13 3.905474e+00 2.00 -5.161319e-02 4.480207e-02 5.07556656e+02 5.35178946e+02 0 1
9.750231e+13 4.281355e+00 2.00 4.232804e-02 1.134048e-01 9.83538592e+01 9.43597942e+01 0 1
1.480275e+14 4.695922e+00 2.00 -2.891287e-01 2.498477e-01 8.02083849e+00 1.12831087e+01 0 1
9.943944e+12 1.874305e+00 1.00 4.102597e-03 5.416410e-03 1.87618711e+05 1.86852132e+05 0 2
1.593166e+13 2.041355e+00 1.00 -1.955396e-03 7.008782e-03 1.00859640e+05 1.01057247e+05 0 2
2.544758e+13 2.229917e+00 1.00 3.554677e-03 7.639631e-03 5.15982117e+04 5.14154464e+04 0 2
4.062296e+13 2.444665e+00 1.00 1.281260e-02 1.006318e-02 2.44401263e+04 2.41309461e+04 0 2
6.484016e+13 2.690535e+00 1.00 1.121442e-03 1.391250e-02 1.01883831e+04 1.01769702e+04 0 2
1.033395e+14 2.972413e+00 1.00 -8.630507e-03 1.945378e-02 3.69069129e+03 3.72282113e+03 0 2
1.646846e+14 3.297998e+00 1.00 -4.049734e-04 3.232716e-02 1.12569161e+03 1.12614767e+03 0 2
2.567908e+14 3.656973e+00 1.00 7.376712e-02 6.785461e-02 2.83479338e+02 2.64004487e+02 0 2
4.214627e+14 4.124756e+00 1.00 1.629561e-01 1.614281e-01 5.10586643e+01 4.39042047e+01 0 2
6.035575e+14 4.516745e+00 1.00 -1.274785e-01 4.354037e-01 4.00347648e+00 4.58839841e+00 0 2
9.962753e+12 1.751136e+00 0.85 -1.203232e-03 5.177463e-03 2.11122779e+05 2.11377115e+05 0 3
1.595456e+13 1.907075e+00 0.85 -2.983722e-03 6.349332e-03 1.17854584e+05 1.18207282e+05 0 3
2.548813e+13 2.083319e+00 0.85 6.339480e-05 7.455792e-03 6.27103977e+04 6.27064225e+04 0 3
4.076751e+13 2.284878e+00 0.85 8.473800e-03 9.245119e-03 3.12791714e+04 3.10163451e+04 0 3
6.518662e+13 2.515689e+00 0.85 -1.602214e-04 1.216941e-02 1.39758487e+04 1.39780883e+04 0 3
1.038347e+14 2.779050e+00 0.85 -2.618863e-02 1.723689e-02 5.41756254e+03 5.56325661e+03 0 3
1.642916e+14 3.078557e+00 0.85 -2.032073e-02 2.685919e-02 1.83639928e+03 1.87449029e+03 0 3
2.604736e+14 3.427083e+00 0.85 7.152784e-02 4.823036e-02 5.40904559e+02 5.04797485e+02 0 3
4.255054e+14 3.861562e+00 0.85 6.785050e-03 1.052628e-01 1.01115319e+02 1.00433870e+02 0 3
6.548305e+14 4.308211e+00 0.85 4.347807e-01 3.236281e-01 1.90154951e+01 1.32532419e+01 0 3
9.965908e+12 1.629925e+00 0.70 5.753442e-04 4.988247e-03 2.35331909e+05 2.35196590e+05 0 4
1.597146e+13 1.775317e+00 0.70 -5.302584e-03 5.971761e-03 1.34882930e+05 1.35601970e+05 0 4
2.557315e+13 1.940249e+00 0.70 4.642467e-03 7.023750e-03 7.50802410e+04 7.47332942e+04 0 4
4.088781e+13 2.127860e+00 0.70 6.321595e-05 8.628598e-03 3.87868685e+04 3.87844168e+04 0 4
6.516508e+13 2.341262e+00 0.70 -8.121653e-03 1.134282e-02 1.84237603e+04 1.85746169e+04 0 4
1.039260e+14 2.587038e+00 0.70 -1.070656e-02 1.523642e-02 7.90205099e+03 7.98757040e+03 0 4
1.655157e+14 2.870156e+00 0.70 -1.809462e-02 2.186209e-02 2.91794949e+03 2.97172165e+03 0 4
2.642700e+14 3.200681e+00 0.70 2.454878e-02 3.615317e-02 9.31540197e+02 9.09219952e+02 0 4
4.183576e+14 3.578960e+00 0.70 -5.237205e-02 7.133242e-02 2.02233704e+02 2.13410446e+02 0 4
6.548111e+14 4.009743e+00 0.70 2.608174e-01 2.152728e-01 4.40358850e+01 3.49264585e+01 0 4
1.051470e+15 4.545649e+00 0.70 4.323581e-01 6.386820e-01 5.00281788e+00 3.49271458e+00 0 4
9.975679e+12 1.512061e+00 0.55 1.122880e-03 4.825699e-03 2.57784331e+05 2.57495195e+05 0 5
1.598529e+13 1.646917e+00 0.55 -2.875532e-03 5.696732e-03 1.52170095e+05 1.52608927e+05 0 5
2.560335e+13 1.800041e+00 0.55 -2.840909e-03 6.651631e-03 8.68160914e+04 8.70634306e+04 0 5
4.093240e+13 1.974078e+00 0.55 1.897389e-03 8.103877e-03 4.72838287e+04 4.71942828e+04 0 5
6.520572e+13 2.171865e+00 0.55 2.530522e-03 1.050881e-02 2.39449026e+04 2.38844625e+04 0 5
1.043515e+14 2.401688e+00 0.55 -1.581903e-02 1.298408e-02 1.08450149e+04 1.10193301e+04 0 5
1.665041e+14 2.665761e+00 0.55 -2.120466e-02 1.880700e-02 4.39140986e+03 4.48654555e+03 0 5
2.650836e+14 2.970888e+00 0.55 -8.085930e-03 2.846581e-02 1.52952296e+03 1.54199139e+03 0 5
4.199154e+14 3.322644e+00 0.55 -3.285443e-03 4.988801e-02 4.19483361e+02 4.20866092e+02 0 5
6.771618e+14 3.751668e+00 0.55 1.218416e-01 1.163924e-01 9.40746797e+01 8.38573650e+01 0 5
1.070336e+15 4.236575e+00 0.55 -1.705369e-01 3.040565e-01 9.00500245e+00 1.08564229e+01 0 5
1.609600e+15 4.742544e+00 0.55 2.883649e-01 1.289625e+00 1.00040430e+00 7.76491395e-01 0 5
9.988180e+12 1.398299e+00 0.40 4.664652e-03 4.696131e-03 2.78855016e+05 2.77560294e+05 0 6
1.601004e+13 1.523106e+00 0.40 -2.115743e-03 5.445988e-03 1.68250620e+05 1.68607350e+05 0 6
2.561658e+13 1.664408e+00 0.40 -3.909861e-03 6.443848e-03 9.88246572e+04 9.92125645e+04 0 6
4.100878e+13 1.825833e+00 0.40 2.295661e-03 7.786887e-03 5.60482899e+04 5.59199167e+04 0 6
6.549294e+13 2.009864e+00 0.40 4.543261e-03 9.432215e-03 2.98715960e+04 2.97364953e+04 0 6
1.047458e+14 2.222330e+00 0.40 -6.795975e-03 1.224170e-02 1.45143916e+04 1.46137060e+04 0 6
1.670035e+14 2.466333e+00 0.40 -2.427057e-02 1.601938e-02 6.29589108e+03 6.45249685e+03 0 6
2.652720e+14 2.747221e+00 0.40 -7.474646e-03 2.438567e-02 2.44402908e+03 2.46243491e+03 0 6
4.240779e+14 3.079518e+00 0.40 1.806563e-02 3.984731e-02 7.83896369e+02 7.69986085e+02 0 6
6.697565e+14 3.458740e+00 0.40 -3.874854e-02 7.690542e-02 1.76141033e+02 1.83241368e+02 0 6
1.031091e+15 3.877536e+00 0.40 3.025578e-01 2.117242e-01 3.90223183e+01 2.99582230e+01 0 6
1.795367e+15 4.522542e+00 0.40 2.869845e-02 5.933356e-01 3.00111382e+00 2.91738926e+00 0 6
9.992923e+12 1.289504e+00 0.25 6.720022e-03 4.590019e-03 2.96892103e+05 2.94910299e+05 0 7
1.601680e+13 1.404591e+00 0.25 4.468051e-03 5.232953e-03 1.83912345e+05 1.83094270e+05 0 7
2.564213e+13 1.535074e+00 0.25 -1.380121e-03 6.224711e-03 1.10572190e+05 1.10725004e+05 0 7
4.102920e+13 1.683799e+00 0.25 2.163249e-03 7.397406e-03 6.47407500e+04 6.46010019e+04 0 7
6.561150e+13 1.854032e+00 0.25 7.541437e-03 8.726193e-03 3.61622150e+04 3.58915412e+04 0 7
1.048441e+14 2.049668e+00 0.25 2.207437e-03 1.119954e-02 1.86945599e+04 1.86533837e+04 0 7
1.674058e+14 2.275496e+00 0.25 1.379552e-03 1.517265e-02 8.86191743e+03 8.84970879e+03 0 7
2.668905e+14 2.536931e+00 0.25 8.716105e-04 2.007572e-02 3.70908606e+03 3.70585600e+03 0 7
4.270175e+14 2.844560e+00 0.25 6.146475e-03 3.108618e-02 1.31549613e+03 1.30745986e+03 0 7
6.688659e+14 3.188260e+00 0.25 5.330362e-03 5.493113e-02 3.66293584e+02 3.64351459e+02 0 7
1.036931e+15 3.581005e+00 0.25 5.091548e-02 1.203241e-01 7.70438698e+01 7.33111949e+01 0 7
1.703864e+15 4.108806e+00 0.25 1.711591e-01 3.499875e-01 1.10042541e+01 9.39603661e+00 0 7
2.790950e+15 4.740968e+00 0.25 2.110038e+00 2.199125e+00 2.00052635e+00 6.43248172e-01 0 7
1.000112e+13 1.187314e+00 0.10 1.042341e-02 4.509351e-03 3.12662931e+05 3.09437538e+05 0 8
1.604423e+13 1.293502e+00 0.10 7.924667e-03 5.128148e-03 1.97363867e+05 1.95812121e+05 0 8
2.566580e+13 1.413469e+00 0.10 1.689388e-03 6.109852e-03 1.21486452e+05 1.21281560e+05 0 8
4.112465e+13 1.550861e+00 0.10 4.620937e-03 7.005743e-03 7.32628297e+04 7.29258440e+04 0 8
6.582861e+13 1.708038e+00 0.10 6.948298e-03 8.373944e-03 4.23882350e+04 4.20957412e+04 0 8
1.051700e+14 1.888244e+00 0.10 4.610916e-03 1.013785e-02 2.30772750e+04 2.29713560e+04 0 8
1.680464e+14 2.096691e+00 0.10 1.277456e-02 1.365240e-02 1.17506538e+04 1.16024378e+04 0 8
2.682009e+14 2.338274e+00 0.10 8.702026e-03 1.815803e-02 5.31368559e+03 5.26784467e+03 0 8
4.279482e+14 2.620175e+00 0.10 2.558778e-02 2.544273e-02 2.11740412e+03 2.06457619e+03 0 8
6.752951e+14 2.942472e+00 0.10 4.301992e-02 4.432467e-02 6.88547775e+02 6.60148253e+02 0 8
1.064166e+15 3.319966e+00 0.10 1.063433e-01 8.624361e-02 1.76098266e+02 1.59171455e+02 0 8
1.623260e+15 3.731175e+00 0.10 -3.511675e-02 1.963448e-01 2.50100409e+01 2.59202769e+01 0 8
2.621600e+15 4.284529e+00 0.10 6.386370e-01 8.177088e-01 4.00110538e+00 2.44172777e+00 0 8
4.943800e+15 5.195621e+00 0.10 8.366401e+00 9.375561e+00 1.00016849e+00 1.06782582e-01 0 8
1.000475e+13 1.123545e+00 0.00 1.147192e-02 4.456277e-03 3.21378524e+05 3.17733512e+05 0 9
1.604985e+13 1.224030e+00 0.00 8.451999e-03 5.097607e-03 2.05070174e+05 2.03351448e+05 0 9
2.566838e+13 1.337492e+00 0.00 7.233538e-03 5.908848e-03 1.28670689e+05 1.27746629e+05 0 9
