# M nu z R Re N Naem box snap
9.701112e+12 3.602533e+00 3.00 6.812682e-03 1.507562e-02 7.78447656e+03 7.73180226e+03 0 0
1.542852e+13 3.917579e+00 3.00 -5.862673e-02 2.379845e-02 1.94654115e+03 2.06776760e+03 0 0
2.456179e+13 4.275653e+00 3.00 -1.384916e-01 4.640054e-02 3.79000072e+02 4.39926136e+02 0 0
3.864139e+13 4.672425e+00 3.00 -1.188019e-01 1.137233e-01 6.14550130e+01 6.97402948e+01 0 0
5.633010e+13 5.044329e+00 3.00 3.304724e-01 4.174186e-01 1.00555101e+01 7.55784944e+00 0 0
9.839677e+12 2.728965e+00 2.00 1.453175e-02 8.073905e-03 5.52115706e+04 5.44207418e+04 0 1
1.574261e+13 2.971193e+00 2.00 6.613934e-03 1.018164e-02 2.21081949e+04 2.19629335e+04 0 1
2.507148e+13 3.243506e+00 2.00 5.733081e-03 1.438861e-02 7.81312780e+03 7.76858984e+03 0 1
4.001324e+13 3.555270e+00 2.00 3.260633e-02 2.461658e-02 2.39123496e+03 2.31572757e+03 0 1
6.333304e+13 3.905474e+00 2.00 -8.099659e-02 4.341399e-02 5.07556656e+02 5.52290286e+02 0 1
9.750231e+13 4.281355e+00 2.00 1.146002e-04 1.088120e-01 9.83538592e+01 9.83425892e+01 0 1
1.480275e+14 4.695922e+00 2.00 -3.270864e-01 2.365068e-01 8.02083849e+00 1.19195666e+01 0 1
9.943944e+12 1.874305e+00 1.00 -3.837742e-03 5.373578e-03 1.87618711e+05 1.88341517e+05 0 2
1.593166e+13 2.041355e+00 1.00 -1.017527e-02 6.951057e-03 1.00859640e+05 1.01896464e+05 0 2
2.544758e+13 2.229917e+00 1.00 -5.469737e-03 7.570932e-03 5.15982117e+04 5.18819926e+04 0 2
4.062296e+13 2.444665e+00 1.00 2.286423e-03 9.958597e-03 2.44401263e+04 2.43843733e+04 0 2
6.484016e+13 2.690535e+00 1.00 -1.162526e-02 1.373536e-02 1.01883831e+04 1.03082188e+04 0 2
1.033395e+14 2.972413e+00 1.00 -2.489768e-02 1.913456e-02 3.69069129e+03 3.78492721e+03 0 2
1.646846e+14 3.297998e+00 1.00 -2.234925e-02 3.161747e-02 1.12569161e+03 1.15142510e+03 0 2
2.567908e+14 3.656973e+00 1.00 4.148434e-02 6.581456e-02 2.83479338e+02 2.72187806e+02 0 2
4.214627e+14 4.124756e+00 1.00 1.145148e-01 1.547040e-01 5.10586643e+01 4.58124595e+01 0 2
6.035575e+14 4.516745e+00 1.00 -1.779893e-01 4.101979e-01 4.00347648e+00 4.87034576e+00 0 2
9.962753e+12 1.751136e+00 0.85 -8.675616e-03 5.138728e-03 2.11122779e+05 2.12970429e+05 0 3
1.595456e+13 1.907075e+00 0.85 -1.052645e-02 6.301297e-03 1.17854584e+05 1.19108372e+05 0 3
2.548813e+13 2.083319e+00 0.85 -7.932890e-03 7.396177e-03 6.27103977e+04 6.32118503e+04 0 3
4.076751e+13 2.284878e+00 0.85 -5.683218e-04 9.162226e-03 3.12791714e+04 3.12969582e+04 0 3
6.518662e+13 2.515689e+00 0.85 -1.090203e-02 1.203867e-02 1.39758487e+04 1.41298933e+04 0 3
1.038347e+14 2.779050e+00 0.85 -3.952245e-02 1.700087e-02 5.41756254e+03 5.64048848e+03 0 3
1.642916e+14 3.078557e+00 0.85 -3.825225e-02 2.636758e-02 1.83639928e+03 1.90943963e+03 0 3
2.604736e+14 3.427083e+00 0.85 4.449460e-02 4.701357e-02 5.40904559e+02 5.17862476e+02 0 3
4.255054e+14 3.861562e+00 0.85 -2.877706e-02 1.015447e-01 1.01115319e+02 1.04111337e+02 0 3
6.548305e+14 4.308211e+00 0.85 3.634861e-01 3.075470e-01 1.90154951e+01 1.39462328e+01 0 3
9.965908e+12 1.629925e+00 0.70 -6.557347e-03 4.952688e-03 2.35331909e+05 2.36885248e+05 0 4
1.597146e+13 1.775317e+00 0.70 -1.224717e-02 5.930069e-03 1.34882930e+05 1.36555346e+05 0 4
2.557315e+13 1.940249e+00 0.70 -2.494665e-03 6.973853e-03 7.50802410e+04 7.52680095e+04 0 4
4.088781e+13 2.127860e+00 0.70 -7.605536e-03 8.562432e-03 3.87868685e+04 3.90841243e+04 0 4
6.516508e+13 2.341262e+00 0.70 -1.696393e-02 1.124170e-02 1.84237603e+04 1.87416931e+04 0 4
1.039260e+14 2.587038e+00 0.70 -2.176235e-02 1.506615e-02 7.90205099e+03 8.07784388e+03 0 4
1.655157e+14 2.870156e+00 0.70 -3.272702e-02 2.153630e-02 2.91794949e+03 3.01667632e+03 0 4
2.642700e+14 3.200681e+00 0.70 3.340462e-03 3.540480e-02 9.31540197e+02 9.28438782e+02 0 4
4.183576e+14 3.578960e+00 0.70 -8.020408e-02 6.923737e-02 2.02233704e+02 2.19868016e+02 0 4
6.548111e+14 4.009743e+00 0.70 2.079202e-01 2.062411e-01 4.40358850e+01 3.64559563e+01 0 4
1.051470e+15 4.545649e+00 0.70 3.467064e-01 6.004903e-01 5.00281788e+00 3.71485411e+00 0 4
9.975679e+12 1.512061e+00 0.55 -5.726773e-03 4.792681e-03 2.57784331e+05 2.59269107e+05 0 5
1.598529e+13 1.646917e+00 0.55 -9.328126e-03 5.659867e-03 1.52170095e+05 1.53602923e+05 0 5
2.560335e+13 1.800041e+00 0.55 -9.120747e-03 6.609741e-03 8.68160914e+04 8.76152075e+04 0 5
4.093240e+13 1.974078e+00 0.55 -4.588567e-03 8.051415e-03 4.72838287e+04 4.75017939e+04 0 5
6.520572e+13 2.171865e+00 0.55 -4.702724e-03 1.043299e-02 2.39449026e+04 2.40580409e+04 0 5
1.043515e+14 2.401688e+00 0.55 -2.450260e-02 1.286952e-02 1.08450149e+04 1.11174206e+04 0 5
1.665041e+14 2.665761e+00 0.55 -3.266873e-02 1.858672e-02 4.39140986e+03 4.53971664e+03 0 5
2.650836e+14 2.970888e+00 0.55 -2.439699e-02 2.799772e-02 1.52952296e+03 1.56777188e+03 0 5
4.199154e+14 3.322644e+00 0.55 -2.697389e-02 4.870234e-02 4.19483361e+02 4.31112131e+02 0 5
6.771618e+14 3.751668e+00 0.55 8.295570e-02 1.123579e-01 9.40746797e+01 8.68684465e+01 0 5
1.070336e+15 4.236575e+00 0.55 -2.123450e-01 2.887309e-01 9.00500245e+00 1.14326732e+01 0 5
1.609600e+15 4.742544e+00 0.55 1.947921e-01 1.195961e+00 1.00040430e+00 8.37304044e-01 0 5
9.988180e+12 1.398299e+00 0.40 -1.978815e-03 4.665078e-03 2.78855016e+05 2.79407913e+05 0 6
1.601004e+13 1.523106e+00 0.40 -8.118358e-03 5.413229e-03 1.68250620e+05 1.69627719e+05 0 6
2.561658e+13 1.664408e+00 0.40 -9.435768e-03 6.408100e-03 9.88246572e+04 9.97660262e+04 0 6
4.100878e+13 1.825833e+00 0.40 -3.059933e-03 7.745279e-03 5.60482899e+04 5.62203203e+04 0 6
6.549294e+13 2.009864e+00 0.40 -1.078057e-03 9.379434e-03 2.98715960e+04 2.99038340e+04 0 6
1.047458e+14 2.222330e+00 0.40 -1.333007e-02 1.216116e-02 1.45143916e+04 1.47104834e+04 0 6
1.670035e+14 2.466333e+00 0.40 -3.273225e-02 1.588046e-02 6.29589108e+03 6.50894344e+03 0 6
2.652720e+14 2.747221e+00 0.40 -1.977796e-02 2.408339e-02 2.44402908e+03 2.49334231e+03 0 6
4.240779e+14 3.079518e+00 0.40 -7.180896e-04 3.911211e-02 7.83896369e+02 7.84459682e+02 0 6
6.697565e+14 3.458740e+00 0.40 -6.543522e-02 7.477034e-02 1.76141033e+02 1.88473862e+02 0 6
1.031091e+15 3.877536e+00 0.40 2.484509e-01 2.029294e-01 3.90223183e+01 3.12565896e+01 0 6
1.795367e+15 4.522542e+00 0.40 -3.439549e-02 5.569441e-01 3.00111382e+00 3.10801555e+00 0 6
9.992923e+12 1.289504e+00 0.25 2.481865e-04 4.560511e-03 2.96892103e+05 2.96818437e+05 0 7
1.601680e+13 1.404591e+00 0.25 -1.142974e-03 5.203721e-03 1.83912345e+05 1.84122792e+05 0 7
2.564213e+13 1.535074e+00 0.25 -6.182355e-03 6.194777e-03 1.10572190e+05 1.11260039e+05 0 7
4.102920e+13 1.683799e+00 0.25 -2.060915e-03 7.366226e-03 6.47407500e+04 6.48744507e+04 0 7
6.561150e+13 1.854032e+00 0.25 3.533169e-03 8.691477e-03 3.61622150e+04 3.60348976e+04 0 7
1.048441e+14 2.049668e+00 0.25 -2.149926e-03 1.115084e-02 1.86945599e+04 1.87348384e+04 0 7
1.674058e+14 2.275496e+00 0.25 -4.302220e-03 1.508656e-02 8.86191743e+03 8.90020808e+03 0 7
2.668905e+14 2.536931e+00 0.25 -7.576615e-03 1.990626e-02 3.70908606e+03 3.73740292e+03 0 7
