# logM_lo logM_hi N Mave
1.079230061820391740e+01 1.108345372818948427e+01 3.721480000000000000e+05 8.543223446500000000e+10
1.108345372818948427e+01 1.137460683817504936e+01 2.089860000000000000e+05 1.671836007190000000e+11
1.137460683817504936e+01 1.166575994816061623e+01 1.171330000000000000e+05 3.267847493870000000e+11
1.166575994816061623e+01 1.195691305814618133e+01 6.526700000000000000e+04 6.382406451950000000e+11
1.195691305814618133e+01 1.224806616813174820e+01 3.585900000000000000e+04 1.251733818009000000e+12
1.224806616813174820e+01 1.253921927811731329e+01 2.012400000000000000e+04 2.439358402902000000e+12
1.253921927811731329e+01 1.283037238810288017e+01 1.090000000000000000e+04 4.752061238532000000e+12
1.283037238810288017e+01 1.312152549808844526e+01 5.893000000000000000e+03 9.293917427456000000e+12
1.312152549808844526e+01 1.341267860807401213e+01 3.032000000000000000e+03 1.806364281002600000e+13
1.341267860807401213e+01 1.370383171805957723e+01 1.604000000000000000e+03 3.547270698254300000e+13
1.370383171805957723e+01 1.399498482804514410e+01 7.340000000000000000e+02 6.940485558583100000e+13
1.399498482804514410e+01 1.428613793803070919e+01 3.460000000000000000e+02 1.348147167630050000e+14
1.428613793803070919e+01 1.457729104801627606e+01 1.190000000000000000e+02 2.593842016806720000e+14
1.457729104801627606e+01 1.486844415800184294e+01 4.400000000000000000e+01 4.778929545454540000e+14
1.486844415800184294e+01 1.515959726798740803e+01 2.000000000000000000e+00 1.333100000000000000e+15
