# logM_lo logM_hi N Mave
8.169850701861498976e+00 8.639740256876931923e+00 1.664360000000000000e+05 2.819242040000000000e+08
8.639740256876931923e+00 9.109629811892363094e+00 2.576572000000000000e+06 9.703919170000000000e+08
9.109629811892363094e+00 9.579519366907796041e+00 6.739968000000000000e+06 2.263186578000000000e+09
9.579519366907796041e+00 1.004940892192322899e+01 4.163907000000000000e+06 6.458237676000000000e+09
1.004940892192322899e+01 1.051929847693866016e+01 1.953210000000000000e+06 1.871926123700000000e+10
1.051929847693866016e+01 1.098918803195409311e+01 8.074590000000000000e+05 5.501891327900000000e+10
1.098918803195409311e+01 1.145907758696952428e+01 3.213340000000000000e+05 1.616247976210000000e+11
1.145907758696952428e+01 1.192896714198495722e+01 1.250730000000000000e+05 4.771872259400000000e+11
1.192896714198495722e+01 1.239885669700039017e+01 4.809200000000000000e+04 1.403953048947000000e+12
1.239885669700039017e+01 1.286874625201582134e+01 1.833500000000000000e+04 4.138517818380000000e+12
1.286874625201582134e+01 1.333863580703125429e+01 6.775000000000000000e+03 1.227068395571900000e+13
1.333863580703125429e+01 1.380852536204668723e+01 2.228000000000000000e+03 3.567974371633700000e+13
1.380852536204668723e+01 1.427841491706211841e+01 6.590000000000000000e+02 1.016517693474960000e+14
1.427841491706211841e+01 1.474830447207755135e+01 1.240000000000000000e+02 2.945580645161290000e+14
1.474830447207755135e+01 1.521819402709298430e+01 1.800000000000000000e+01 8.478511111111110000e+14
