# logM_lo logM_hi N Mave
1.500001564300550960e+01 1.506497724630128054e+01 5.113700000000000000e+04 1.072741695531415000e+15
1.506497724630128054e+01 1.512993884959704971e+01 3.330300000000000000e+04 1.245955449986487000e+15
1.512993884959704971e+01 1.519490045289282065e+01 2.065100000000000000e+04 1.444962063398382000e+15
1.519490045289282065e+01 1.525986205618859159e+01 1.277400000000000000e+04 1.679482741766087000e+15
1.525986205618859159e+01 1.532482365948436254e+01 7.201000000000000000e+03 1.950982808303013000e+15
1.532482365948436254e+01 1.538978526278013170e+01 3.891000000000000000e+03 2.260405315381650000e+15
1.538978526278013170e+01 1.545474686607590264e+01 2.032000000000000000e+03 2.623491820954724000e+15
1.545474686607590264e+01 1.551970846937167359e+01 1.009000000000000000e+03 3.045649088176412000e+15
1.551970846937167359e+01 1.558467007266744453e+01 4.920000000000000000e+02 3.539402564674797000e+15
1.558467007266744453e+01 1.564963167596321370e+01 2.080000000000000000e+02 4.098306694182692000e+15
1.564963167596321370e+01 1.571459327925898464e+01 7.200000000000000000e+01 4.780609940555556000e+15
1.571459327925898464e+01 1.577955488255475558e+01 2.900000000000000000e+01 5.576984322068966000e+15
1.577955488255475558e+01 1.584451648585052652e+01 2.000000000000000000e+00 6.220207595000000000e+15
1.584451648585052652e+01 1.590947808914629569e+01 3.000000000000000000e+00 7.430916013333334000e+15
1.590947808914629569e+01 1.597443969244206663e+01 1.000000000000000000e+00 9.428436760000000000e+15
